OPE ID,School,State,Zip Code,School Type,20152016Qtr3_Dependent Students,20152016Qtr3_Independent Students,Quarterly Total,YTD_20152016Qtr3_Dependent Students,YTD_20152016Qtr3_Independent Students,Award Year To Date Total
02533200,FRANK LLOYD WRIGHT SCHOOL OF ARCHITECTUR,AZ,85261-4430,Private      ,4,8,12,22,41,63
02559000,UNIVERSITY OF ADVANCING TECHNOLOGY      ,AZ,85283-0000,Proprietary  ,109,138,247,889,578,1467
02582700,CORTIVA INSTITUTE - TUCSON              ,AZ,85710-3503,Proprietary  ,38,91,129,85,243,328
02616700,LE CORDON BLEU COLLEGE OF CULINARY ARTS ,AZ,85251-2729,Proprietary  ,156,616,772,672,2791,3463
02623600,PARADISE VALLEY COMMUNITY COLLEGE       ,AZ,85032-1210,Public       ,785,1304,2089,3364,4396,7760
02623800,CORTIVA INSTITUTE - SCOTTSDALE          ,AZ,85257-4218,Proprietary  ,12,41,53,23,118,141
03005000,SAFFORD COLLEGE OF BEAUTY CULTURE       ,AZ,85546-3309,Proprietary  ,3,7,10,13,31,44
03010613,VIRGINIA COLLEGE - GOLF ACADEMY OF AMERI,AZ,85225-3412,Proprietary  ,3,22,25,27,86,113
03030604,UTAH COLLEGE OF MASSAGE THERAPY - ARIZON,AZ,85282-0000,Proprietary  ,29,69,98,63,174,237
03030605,UTAH COLLEGE OF MASSAGE THERAPY - ARIZON,AZ,85051-3470,Proprietary  ,40,86,126,89,224,313
03034400,CONSERVATORY RECORDING ARTS & SCIS      ,AZ,85282-1707,Proprietary  ,114,108,222,517,516,1033
03072200,CHANDLER-GILBERT COMMUNITY COLLEGE      ,AZ,85225-2499,Public       ,1283,1670,2953,5220,5561,10781
03076400,BRYMAN SCHOOL OF ARIZONA (THE)          ,AZ,85029-4919,Proprietary  ,5,45,50,32,180,212
03097800,CARSTEN INSTITUTE OF HAIR & BEAUTY      ,AZ,85282-5404,Proprietary  ,25,57,82,82,160,242
03100400,COCONINO COUNTY COMMUNITY COLLEGE       ,AZ,86001-0000,Public       ,322,523,845,1984,1848,3832
03107000,SOUTHWEST CLG OF NATUROPATHIC MED       ,AZ,85282-0000,Private      ,5,87,92,14,560,574
03115000,ARIZONA COLLEGE OF ALLIED HEALTH        ,AZ,85302-3843,Proprietary  ,134,448,582,340,1112,1452
03120300,COLLEGE AMERICA                         ,AZ,86004-3936,Proprietary  ,92,352,444,384,1325,1709
03156300,ESTRELLA MOUNTAIN COMMUNITY COLLEGE     ,AZ,85392-1010,Public       ,1146,1688,2834,5022,6152,11174
03347300,INTERNATIONAL BAPTIST COLLEGE           ,AZ,85282-6799,Private      ,17,10,27,41,28,69
03445300,HDS TRUCK DRIVING INSTITUTE             ,AZ,85731-0000,Proprietary  ,6,56,62,13,117,130
03478400,PHOENIX SEMINARY                        ,AZ,85018-7611,Private      ,1,28,29,8,166,174
03572300,EAST VALLEY INSTITUTE OF TECHNOLOGY     ,AZ,85201-6910,Public       ,74,165,239,338,574,912
03593300,SOUTHWEST INSTITUTE OF HEALING ARTS     ,AZ,85281-3658,Proprietary  ,34,440,474,145,1391,1536
03617500,PHOENIX INSTITUTE OF HERBAL MEDICINE & A,AZ,85012-0000,Proprietary  ,9,114,123,45,357,402
03695500,ARIZONA SCHOOL OF ACUPUNCTURE AND ORIENT,AZ,85712-1100,Proprietary  ,1,21,22,17,61,78
03784400,TOHONO O'ODHAM COMMUNITY COLLEGE        ,AZ,85634-3129,Public       ,23,39,62,77,106,183
03813300,NORTHCENTRAL UNIVERSITY                 ,AZ,86314-2336,Proprietary  ,15,2490,2505,67,7027,7094
03814300,TURNING POINT BEAUTY COLLEGE            ,AZ,85222-4229,Proprietary  ,8,22,30,20,53,73
04051300,ART INSTITUTE OF PHOENIX (THE)          ,AZ,85021-2859,Proprietary  ,1083,3030,4113,4423,12959,17382
04051306,ART INSTITUTE OF PHOENIX (THE) - ART INS,AZ,85712-2732,Proprietary  ,62,110,172,361,504,865
04051325,ART INSTITUTE OF PHOENIX (THE) - BROWN M,AZ,85712-5300,Proprietary  ,37,174,211,138,610,748
04051327,ART INSTITUTE OF PHOENIX (THE) - BROWN M,AZ,85029-1348,Proprietary  ,26,65,91,139,350,489
04059300,TUCSON COLLEGE OF BEAUTY                ,AZ,85705-2451,Proprietary  ,11,44,55,57,131,188
04120900,ARIZONA CULINARY INSTITUTE              ,AZ,85259-4939,Proprietary  ,26,74,100,172,285,457
04131400,ARIZONA SUMMIT LAW SCHOOL               ,AZ,85004-4418,Proprietary  ,10,267,277,61,1020,1081
04148700,AMERICAN INSTITUTE OF INTERIOR DESIGN   ,AZ,85268-3827,Proprietary  ,4,25,29,26,63,89
04152900,STUDIO ACADEMY OF BEAUTY (THE)          ,AZ,85224-3600,Proprietary  ,49,108,157,130,321,451
04157400,NATIONAL PARALEGAL COLLEGE              ,AZ,85014-1262,Proprietary  ,13,304,317,71,1245,1316
04174100,PAUL MITCHELL THE SCHOOL PHOENIX        ,AZ,85017-1919,Proprietary  ,40,82,122,159,284,443
04174200,ALL BEAUTY COLLEGE                      ,AZ,86426-8326,Proprietary  ,12,28,40,37,132,169
04175300,PENROSE ACADEMY                         ,AZ,85254-4065,Proprietary  ,35,52,87,100,173,273
04177500,PURE AESTHETICS                         ,AZ,85711-2328,Proprietary  ,6,34,40,25,86,111
04194500,AVEDA INSTITUTE TUCSON                  ,AZ,85719-4876,Proprietary  ,37,80,117,110,190,300
04194501,AVEDA INSTITUTE TUCSON - PHOENIX        ,AZ,85284-1064,Proprietary  ,39,76,115,111,203,314
04217600,SESSIONS COLLEGE FOR PROFESSIONAL DESIGN,AZ,85281-2840,Proprietary  ,6,57,63,20,170,190
04233100,ARIZONA SCHOOL OF INTEGRATIVE STUDIES   ,AZ,86324-3106,Proprietary  ,1,18,19,10,50,60
04233101,ARIZONA SCHOOL OF INTEGRATIVE STUDIES - ,AZ,86001-5510,Proprietary  ,5,20,25,29,71,100
04233102,ARIZONA SCHOOL OF INTEGRATIVE STUDIES - ,AZ,86303-4711,Proprietary  ,4,25,29,24,83,107
04233103,ARIZONA SCHOOL OF INTEGRATIVE STUDIES - ,AZ,85705-8330,Proprietary  ,7,26,33,31,109,140
04244900,SONORAN DESERT INSTITUTE                ,AZ,85258-3376,Proprietary  ,3,47,50,3,47,50
04246400,AVENTIS COLLEGE                         ,AZ,85282-1118,Proprietary  ,0,0,0,1,5,6
00142800,DELAWARE STATE UNIVERSITY               ,DE,19901-2277,Public       ,411,436,847,8084,2375,10459
00142900,GOLDEY BEACOM COLLEGE                   ,DE,19808-1993,Private      ,92,141,233,680,525,1205
00143100,UNIVERSITY OF DELAWARE                  ,DE,19716-0099,Public       ,896,486,1382,26327,3065,29392
00143300,WESLEY COLLEGE                          ,DE,19901-3875,Private      ,183,140,323,2848,837,3685
00331301,WIDENER UNIV SCHOOL OF LAW - DE         ,DE,19803-0000,Private      ,7,121,128,53,921,974
00705300,DELAWARE TECHNICAL COMMUNITY COLLEGE - O,DE,19947-0000,Public       ,10,25,35,10,25,35
00794800,WILMINGTON UNIVERSITY                   ,DE,19720-6491,Private      ,619,2861,3480,3174,10047,13221
01172700,DELAWARE TECHNICAL COMMUNITY COLLEGE    ,DE,19901-8736,Public       ,1269,2145,3414,7213,8773,15986
01172703,DELAWARE TECHNICAL COMMUNITY COLLEGE -  ,DE,19801-2412,Public       ,6,13,19,6,13,19
01172704,DELAWARE TECHNICAL COMMUNITY COLLEGE -  ,DE,19713-2197,Public       ,2,10,12,2,10,12
