,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Name,county,state,census_year
1893,46.1,1840.0,134.0,71250.0,32253.0,"Oliver County, North Dakota",065,38,2013
1894,47.1,7327.0,621.0,49846.0,27817.0,"Pembina County, North Dakota",067,38,2013
1895,48.5,4399.0,595.0,42975.0,23491.0,"Pierce County, North Dakota",069,38,2013
1896,42.2,11473.0,1332.0,48604.0,28081.0,"Ramsey County, North Dakota",071,38,2013
1897,44.5,5472.0,504.0,49788.0,26137.0,"Ransom County, North Dakota",073,38,2013
1898,44.7,2512.0,172.0,60847.0,31178.0,"Renville County, North Dakota",075,38,2013
1899,39.3,16258.0,1793.0,53759.0,27713.0,"Richland County, North Dakota",077,38,2013
1900,30.5,14176.0,5014.0,31336.0,15502.0,"Rolette County, North Dakota",079,38,2013
1901,45.6,3859.0,282.0,53381.0,29950.0,"Sargent County, North Dakota",081,38,2013
1902,53.6,1313.0,180.0,43250.0,29219.0,"Sheridan County, North Dakota",083,38,2013
1903,26.7,4258.0,1682.0,36111.0,15478.0,"Sioux County, North Dakota",085,38,2013
1904,48.9,738.0,66.0,61667.0,30586.0,"Slope County, North Dakota",087,38,2013
1905,37.2,25666.0,1888.0,62559.0,31412.0,"Stark County, North Dakota",089,38,2013
1906,46.9,1976.0,121.0,55735.0,31455.0,"Steele County, North Dakota",091,38,2013
1907,41.8,21046.0,2329.0,50120.0,27351.0,"Stutsman County, North Dakota",093,38,2013
1908,46.9,2285.0,168.0,55521.0,33357.0,"Towner County, North Dakota",095,38,2013
1909,42.1,8125.0,828.0,48767.0,27098.0,"Traill County, North Dakota",097,38,2013
1910,45.6,11102.0,1150.0,48592.0,29072.0,"Walsh County, North Dakota",099,38,2013
1911,31.9,64008.0,5586.0,56580.0,28557.0,"Ward County, North Dakota",101,38,2013
1912,51.4,4220.0,368.0,44132.0,29301.0,"Wells County, North Dakota",103,38,2013
1913,35.6,25024.0,2109.0,76210.0,38738.0,"Williams County, North Dakota",105,38,2013
1914,40.4,28406.0,6372.0,35678.0,18235.0,"Adams County, Ohio",001,39,2013
1915,38.1,105895.0,18850.0,42823.0,22295.0,"Allen County, Ohio",003,39,2013
1916,39.9,53234.0,8283.0,46548.0,21940.0,"Ashland County, Ohio",005,39,2013
1917,41.4,100835.0,18186.0,40516.0,20011.0,"Ashtabula County, Ohio",007,39,2013
1918,26.8,64811.0,17499.0,33823.0,17019.0,"Athens County, Ohio",009,39,2013
1919,40.2,45906.0,4001.0,52239.0,25323.0,"Auglaize County, Ohio",011,39,2013
1920,43.5,69990.0,9609.0,41534.0,22380.0,"Belmont County, Ohio",013,39,2013
1921,40.3,44604.0,6184.0,44341.0,21206.0,"Brown County, Ohio",015,39,2013
1922,36.2,369650.0,48678.0,56610.0,26813.0,"Butler County, Ohio",017,39,2013
1923,43.7,28689.0,4403.0,43779.0,21783.0,"Carroll County, Ohio",019,39,2013
1924,40.3,39855.0,5214.0,49157.0,23358.0,"Champaign County, Ohio",021,39,2013
1925,41.0,137763.0,24958.0,43136.0,22780.0,"Clark County, Ohio",023,39,2013
1926,39.0,198417.0,20014.0,60365.0,28761.0,"Clermont County, Ohio",025,39,2013
1927,39.0,42013.0,6725.0,46048.0,22026.0,"Clinton County, Ohio",027,39,2013
1928,42.6,107078.0,17331.0,42300.0,21575.0,"Columbiana County, Ohio",029,39,2013
1929,41.3,36862.0,6157.0,41274.0,20526.0,"Coshocton County, Ohio",031,39,2013
1930,42.4,43348.0,7058.0,40783.0,21478.0,"Crawford County, Ohio",033,39,2013
1931,40.4,1272533.0,228497.0,43804.0,27423.0,"Cuyahoga County, Ohio",035,39,2013
1932,40.7,52666.0,7101.0,43425.0,22511.0,"Darke County, Ohio",037,39,2013
1933,39.2,38911.0,5296.0,47593.0,22739.0,"Defiance County, Ohio",039,39,2013
1934,37.5,178139.0,8570.0,89757.0,40189.0,"Delaware County, Ohio",041,39,2013
1935,43.6,76634.0,10034.0,46498.0,26135.0,"Erie County, Ohio",043,39,2013
1936,38.7,147110.0,17096.0,58786.0,27031.0,"Fairfield County, Ohio",045,39,2013
1937,40.4,28902.0,5686.0,37619.0,20603.0,"Fayette County, Ohio",047,39,2013
1938,33.6,1181824.0,208639.0,50877.0,28283.0,"Franklin County, Ohio",049,39,2013
1939,39.6,42601.0,4801.0,52856.0,24771.0,"Fulton County, Ohio",051,39,2013
1940,40.1,30859.0,5312.0,39226.0,21168.0,"Gallia County, Ohio",053,39,2013
1941,43.5,93610.0,7494.0,67663.0,34455.0,"Geauga County, Ohio",055,39,2013
1942,37.5,162588.0,21277.0,58080.0,30040.0,"Greene County, Ohio",057,39,2013
1943,41.3,39935.0,7972.0,38841.0,20537.0,"Guernsey County, Ohio",059,39,2013
1944,37.2,802481.0,140849.0,48593.0,29681.0,"Hamilton County, Ohio",061,39,2013
1945,38.4,75239.0,10238.0,49589.0,26139.0,"Hancock County, Ohio",063,39,2013
1946,35.1,31886.0,5354.0,40415.0,19626.0,"Hardin County, Ohio",065,39,2013
1947,44.9,15766.0,2833.0,39002.0,21029.0,"Harrison County, Ohio",067,39,2013
1948,39.8,28164.0,3728.0,49439.0,23347.0,"Henry County, Ohio",069,39,2013
1949,39.6,43395.0,8360.0,39091.0,19348.0,"Highland County, Ohio",071,39,2013
1950,41.9,29268.0,4537.0,42089.0,21037.0,"Hocking County, Ohio",073,39,2013
1951,29.9,42841.0,6616.0,45477.0,17177.0,"Holmes County, Ohio",075,39,2013
1952,38.0,59390.0,7916.0,49404.0,22257.0,"Huron County, Ohio",077,39,2013
1953,39.4,33034.0,8028.0,36356.0,19405.0,"Jackson County, Ohio",079,39,2013
1954,44.1,68928.0,11092.0,40577.0,22324.0,"Jefferson County, Ohio",081,39,2013
1955,39.3,60925.0,8180.0,49750.0,23878.0,"Knox County, Ohio",083,39,2013
1956,42.7,229850.0,20874.0,56018.0,29132.0,"Lake County, Ohio",085,39,2013
1957,40.6,62309.0,11249.0,41552.0,21365.0,"Lawrence County, Ohio",087,39,2013
1958,39.4,167065.0,19567.0,55114.0,26716.0,"Licking County, Ohio",089,39,2013
1959,40.0,45678.0,7151.0,47542.0,22878.0,"Logan County, Ohio",091,39,2013
1960,40.4,301720.0,42575.0,51816.0,26030.0,"Lorain County, Ohio",093,39,2013
1961,37.4,439511.0,89289.0,41556.0,23885.0,"Lucas County, Ohio",095,39,2013
1962,39.6,43221.0,4235.0,54956.0,24014.0,"Madison County, Ohio",097,39,2013
1963,43.1,237033.0,40290.0,41058.0,23975.0,"Mahoning County, Ohio",099,39,2013
1964,40.2,66323.0,11170.0,42572.0,20624.0,"Marion County, Ohio",101,39,2013
1965,40.9,173252.0,12637.0,65951.0,30707.0,"Medina County, Ohio",103,39,2013
1966,41.8,23659.0,5106.0,35469.0,18816.0,"Meigs County, Ohio",105,39,2013
1967,39.5,40811.0,3794.0,52535.0,24157.0,"Mercer County, Ohio",107,39,2013
1968,40.9,102867.0,13185.0,52040.0,25369.0,"Miami County, Ohio",109,39,2013
1969,45.1,14646.0,2749.0,40573.0,21487.0,"Monroe County, Ohio",111,39,2013
1970,39.1,536433.0,91424.0,43401.0,24997.0,"Montgomery County, Ohio",113,39,2013
1971,43.6,15008.0,2980.0,37865.0,21027.0,"Morgan County, Ohio",115,39,2013
1972,40.6,34932.0,4677.0,51484.0,22228.0,"Morrow County, Ohio",117,39,2013
1973,39.8,85872.0,15056.0,40524.0,20775.0,"Muskingum County, Ohio",119,39,2013
1974,44.4,14639.0,1833.0,38290.0,18853.0,"Noble County, Ohio",121,39,2013
1975,46.7,41372.0,4486.0,53202.0,27979.0,"Ottawa County, Ohio",123,39,2013
1976,40.6,19441.0,2628.0,44861.0,22714.0,"Paulding County, Ohio",125,39,2013
1977,38.8,36051.0,6991.0,41446.0,19372.0,"Perry County, Ohio",127,39,2013
1978,38.6,55949.0,6829.0,54003.0,23851.0,"Pickaway County, Ohio",129,39,2013
1979,40.1,28587.0,6593.0,42165.0,20071.0,"Pike County, Ohio",131,39,2013
1980,36.9,163387.0,25196.0,52697.0,25332.0,"Portage County, Ohio",133,39,2013
1981,41.1,42050.0,5069.0,48405.0,23374.0,"Preble County, Ohio",135,39,2013
1982,39.4,34339.0,2342.0,61192.0,25481.0,"Putnam County, Ohio",137,39,2013
1983,41.2,123387.0,18246.0,41835.0,21932.0,"Richland County, Ohio",139,39,2013
1984,39.9,77802.0,14097.0,43264.0,21310.0,"Ross County, Ohio",141,39,2013
1985,41.1,60619.0,8478.0,46140.0,22799.0,"Sandusky County, Ohio",143,39,2013
1986,39.0,78952.0,17531.0,35379.0,19437.0,"Scioto County, Ohio",145,39,2013
1987,39.2,56376.0,8285.0,43764.0,22075.0,"Seneca County, Ohio",147,39,2013
1988,38.4,49317.0,5543.0,50427.0,24028.0,"Shelby County, Ohio",149,39,2013
1989,41.5,375348.0,54747.0,45641.0,24453.0,"Stark County, Ohio",151,39,2013
1990,40.4,541592.0,81846.0,49669.0,27818.0,"Summit County, Ohio",153,39,2013
1991,43.1,208792.0,35569.0,42880.0,22568.0,"Trumbull County, Ohio",155,39,2013
1992,40.8,92528.0,13303.0,43739.0,21966.0,"Tuscarawas County, Ohio",157,39,2013
1993,37.1,52683.0,3844.0,65086.0,28852.0,"Union County, Ohio",159,39,2013
1994,41.1,28685.0,3509.0,45355.0,22790.0,"Van Wert County, Ohio",161,39,2013
1995,39.8,13365.0,2737.0,36705.0,18101.0,"Vinton County, Ohio",163,39,2013
1996,37.9,215274.0,13188.0,72487.0,33172.0,"Warren County, Ohio",165,39,2013
1997,43.0,61600.0,9124.0,42834.0,23496.0,"Washington County, Ohio",167,39,2013
1998,38.7,114750.0,13737.0,49135.0,23061.0,"Wayne County, Ohio",169,39,2013
1999,41.5,37623.0,4994.0,43089.0,21350.0,"Williams County, Ohio",171,39,2013
2000,35.1,127325.0,17617.0,52069.0,26326.0,"Wood County, Ohio",173,39,2013
2001,41.4,22582.0,2455.0,44448.0,22382.0,"Wyandot County, Ohio",175,39,2013
2002,36.7,22427.0,5843.0,32556.0,15116.0,"Adair County, Oklahoma",001,40,2013
2003,45.7,5674.0,592.0,44811.0,22488.0,"Alfalfa County, Oklahoma",003,40,2013
2004,39.4,14070.0,2760.0,37012.0,17842.0,"Atoka County, Oklahoma",005,40,2013
2005,41.1,5605.0,549.0,51422.0,26109.0,"Beaver County, Oklahoma",007,40,2013
2006,35.0,22715.0,3127.0,48989.0,23959.0,"Beckham County, Oklahoma",009,40,2013
2007,40.4,10198.0,1254.0,44206.0,20242.0,"Blaine County, Oklahoma",011,40,2013
2008,37.1,43079.0,7692.0,38897.0,20524.0,"Bryan County, Oklahoma",013,40,2013
